xcord	bench	data	energy_saver	managed	full_throttle	low_percent_saved	mid_percent_saved
0.0	sunflow	small	0.25092478296143966	0.35072801322797414	0.4890318520895234	48.69	28.28
0.2	sunflow	medium	0.3144077364773803	0.5095673934341963	0.7903274264566017	60.22	35.52
0.4	sunflow	large	0.34756655338359577	0.6164161367509452	1.0	65.24	38.36
1.0	jspider	small	0.030403592495193598	0.031131267998390822	0.051650203967721325	41.14	39.73
1.2	jspider	medium	0.6596448035980437	0.7097651808311275	0.7233164490086577	8.8	1.87
1.4	jspider	large	0.28390890018691317	0.7373213244786617	1.0	71.61	26.27
2.0	crypto	small	0.07248299411633463	0.1458921771802617	0.25200316307536563	71.24	42.11
2.2	crypto	medium	0.14787886786069357	0.2890630532066157	0.5049812853847028	70.72	42.76
2.4	crypto	large	0.2949299305602522	0.5771547951865308	1.0	70.51	42.28
3.0	findbugs	small	0.019114924631654685	0.023171712462890875	0.022926641630265737	16.63	-1.07
3.2	findbugs	medium	0.21696310444136663	0.2704147148071931	0.2798806018710449	22.48	3.38
3.4	findbugs	large	0.7512680894464996	1.0	0.9980529461225996	24.73	-0.2
4.0	pagerank	small	0.04270083860494165	0.050117202396754136	0.05891776208812767	27.52	14.94
4.2	pagerank	medium	0.4301727046396314	0.5119748650238066	0.612769742862204	29.8	16.45
4.4	pagerank	large	0.69529884917566	0.843723800083593	1.0	30.47	15.63
5.0	batik	small	0.07837101053877248	0.10018555792436362	0.2114440571341162	62.94	52.62
5.2	batik	medium	0.396285884954793	0.40343216050991354	0.5869147800421709	32.48	31.26
5.4	batik	large	0.7950582704398106	0.8217193150006485	1.0	20.49	17.83
6.0	sunflow	small	0.2154026671480458	0.3197644244872152	0.4912787417920868	56.15	34.91
6.2	sunflow	medium	0.27085542793961526	0.47892456619355744	0.8028183315657644	66.26	40.34
6.4	sunflow	large	0.30511993140329713	0.5776225827560498	1.0	69.49	42.24
7.0	crypto	small	0.08565891268741707	0.18224396683536098	0.33372305110392253	74.33	45.39
7.2	crypto	medium	0.1715951920764335	0.3656026669334863	0.670209236311158	74.4	45.45
7.4	crypto	large	0.2559094029067219	0.5503324011705496	1.0	74.41	44.97
8.0	camera	small	0.8576452466067955	0.8704914697590611	0.8935391054145964	4.02	2.58
8.2	camera	medium	0.87479292004534	0.905745923794577	0.9636411195396297	9.22	6.01
8.4	camera	large	0.9361467143313866	0.9697445287296206	1.0	6.39	3.03
9.0	video	small	0.7353024929457153	0.7645810142638954	0.7981827124699064	7.88	4.21
9.2	video	medium	0.7513267234461161	0.7879313469155301	0.8272282482073042	9.18	4.75
9.4	video	large	0.8036967045483963	0.9059773745113776	1.0	19.63	9.4
10.0	javaboy	small	0.9715138774639751	0.9911342656064351	1.0	2.85	0.89
10.2	javaboy	medium	0.9683453675776148	0.97769856503062	0.9811108064466999	1.3	0.35
10.4	javaboy	large	0.9675227736648098	0.9746519209091193	0.9806842762696898	1.34	0.62
11.0	newpipe	small	0.15697829758273746	0.1668842789806654	0.17062989942782136	8.0	2.2
11.2	newpipe	medium	0.3666221359614845	0.42111259546794255	0.43070098051570876	14.88	2.23
11.4	newpipe	large	0.8220300960350676	0.9582738890429202	1.0	17.8	4.17
12.0	duckduckgo	small	0.2728538853311852	0.31525048814124046	0.3245012766770895	15.92	2.85
12.2	duckduckgo	medium	0.5248849625189459	0.6344334148039934	0.6538566571541709	19.72	2.97
12.4	duckduckgo	large	0.7818111064079639	0.9782760080287288	1.0	21.82	2.17
13.0	soundrecorder	small	0.5661462433307098	0.5890404968074866	0.5998644275343297	5.62	1.8
13.2	soundrecorder	medium	0.7513557246566935	0.7879821569141947	0.798871687221201	5.95	1.36
13.4	soundrecorder	large	0.9134960202921342	0.9740662993090157	1.0	8.65	2.59
14.0	materiallife	small	0.7154715949851408	0.825982987736138	0.9696648788986441	26.21	14.82
14.2	materiallife	medium	0.7368906500871125	0.8547808560789795	0.8889761896628298	17.11	3.85
14.4	materiallife	large	0.7635022033956217	0.9320192669012418	1.0	23.65	6.8
