xcord	bench	data	ent_managed	java_managed	ent_full	java_full	percent_saved
0.0	sunflow	managed	0.5091460201380807	0.8302367487738539			38.67
0.2	sunflow	full_throttle	0.5703429290822958	1.0266336087205188			44.45
0.4	sunflow	full_throttle			0.5665925398786891	1.0	43.34
1.0	jspider	managed	0.8891398433175434	0.9499252978467905			6.4
1.2	jspider	full_throttle	0.3907829813823212	0.9881906685433114			60.45
1.4	jspider	full_throttle			0.419548701192831	1.0	58.05
2.0	crypto	managed	0.2619420661275128	0.5018046151357576			47.8
2.2	crypto	full_throttle	0.49562939602271044	1.011632674375791			51.01
2.4	crypto	full_throttle			0.5077739294601742	1.0	49.22
3.0	findbugs	managed	0.20905037337176544	0.27690016689871333			24.5
3.2	findbugs	full_throttle	0.7405595303043263	0.9966433218184304			25.69
3.4	findbugs	full_throttle			0.7505288224135446	1.0	24.95
4.0	pagerank	managed	0.49326333959198604	0.6019735018332854			18.06
4.2	pagerank	full_throttle	0.8174373136374739	0.995556208883423			17.89
4.4	pagerank	full_throttle			0.8325344436912823	1.0	16.75
5.0	batik	managed	0.4448806938414177	0.4499651428613661			1.13
5.2	batik	full_throttle	0.819989867723682	0.8583782123597632			4.47
5.4	batik	full_throttle			0.7764390804011699	1.0	22.36
6.0	sunflow	managed	0.4667770568188383	0.8309875425996884			43.83
6.2	sunflow	full_throttle	0.5305851319868302	0.98914068968173			46.36
6.4	sunflow	full_throttle			0.528967787896875	1.0	47.1
7.0	crypto	managed	0.31459593924412815	0.6657919870035383			52.75
7.2	crypto	full_throttle	0.46555591868333585	0.9968333846295403			53.3
7.4	crypto	full_throttle			0.4689414683830168	1.0	53.11
8.0	video	managed	0.8597639461570353	0.897288216942645			4.18
8.2	video	full_throttle	0.9230097955799906	1.002923402491437			7.97
8.4	video	full_throttle			0.9267404062220482	1.0	7.33
9.0	camera	managed	0.9612292251241094	1.0168897042952725			5.47
9.2	camera	full_throttle	1.0059626591841138	1.002940859054608			-0.3
9.4	camera	full_throttle			1.0255234189510032	1.0	-2.55
10.0	javaboy	managed	0.9850215315483998	0.9958809211758101			1.09
10.2	javaboy	full_throttle	0.9934781251950322	0.999812769144355			0.63
10.4	javaboy	full_throttle			0.9928852274854898	1.0	0.71
11.0	newpipe	managed	0.3822594001023227	0.4423704766375307			13.59
11.2	newpipe	full_throttle	0.8483852762936388	1.0131804492639818			16.27
11.4	newpipe	full_throttle			0.8564021962141	1.0	14.36
12.0	duckduckgo	managed	0.6254136569049571	0.6690673593566522			6.52
12.2	duckduckgo	full_throttle	0.9667366473330247	0.9938583069423186			2.73
12.4	duckduckgo	full_throttle			0.9066647688858834	1.0	9.33
13.0	soundrecorder	managed	0.7812348387368938	0.799670934672094			2.31
13.2	soundrecorder	full_throttle	0.9343556858691702	0.9991773366802369			6.49
13.4	soundrecorder	full_throttle			0.9668403400341689	1.0	3.32
14.0	materiallife	managed	0.9003330678444696	0.9214032293099672			2.29
14.2	materiallife	full_throttle	0.8426254434870746	0.9982984577510681			15.59
14.4	materiallife	full_throttle			0.8410687133444348	1.0	15.89
