xcord	bench	data	energy_saver	managed	low_percent_saved	mid_percent_saved
0.0	sunflow	large	0.34756655338359577	0	65.24	""
0.2	sunflow	large	0	0.6164161367509452	""	38.36
1.0	jspider	large	0.28390890018691317	0	71.61	""
1.2	jspider	large	0	0.7373213244786617	""	26.27
2.0	crypto	large	0.2949299305602522	0	70.51	""
2.2	crypto	large	0	0.5771547951865308	""	42.28
3.0	findbugs	large	0.7527337025206423	0	24.73	""
3.2	findbugs	large	0	1.0019508522919196	""	-0.2
4.0	pagerank	large	0.69529884917566	0	30.47	""
4.2	pagerank	large	0	0.843723800083593	""	15.63
5.0	batik	large	0.7950582704398106	0	20.49	""
5.2	batik	large	0	0.8217193150006485	""	17.83
6.0	sunflow	large	0.30511993140329713	0	69.49	""
6.2	sunflow	large	0	0.5776225827560498	""	42.24
7.0	crypto	large	0.2559094029067219	0	74.41	""
7.2	crypto	large	0	0.5503324011705496	""	44.97
8.0	camera	large	0.9361467143313866	0	6.39	""
8.2	camera	large	0	0.9697445287296206	""	3.03
9.0	video	large	0.8036967045483963	0	19.63	""
9.2	video	large	0	0.9059773745113776	""	9.4
10.0	javaboy	large	0.9865792662089541	0	1.34	""
10.2	javaboy	large	0	0.9938488303457702	""	0.62
11.0	newpipe	large	0.8220300960350676	0	17.8	""
11.2	newpipe	large	0	0.9582738890429202	""	4.17
12.0	duckduckgo	large	0.7818111064079639	0	21.82	""
12.2	duckduckgo	large	0	0.9782760080287288	""	2.17
13.0	soundrecorder	large	0.9134960202921342	0	8.65	""
13.2	soundrecorder	large	0	0.9740662993090157	""	2.59
14.0	materiallife	large	0.7635022033956217	0	23.65	""
14.2	materiallife	large	0	0.9320192669012418	""	6.8
